Symbol,Date,Close,High,Low,Open,Volume
GLW,2014-07-11,21.69,21.71,21.56,21.63,5087316
GLW,2014-07-14,21.91,22.01,21.8,21.8,6419253
GLW,2014-07-15,21.96,22.09,21.9,21.97,7525558
GLW,2014-07-16,21.82,22.1,21.78,22.06,11156197
GLW,2014-07-17,21.49,21.88,21.47,21.77,5602742
GLW,2014-07-18,21.83,21.85,21.525,21.59,9736934
GLW,2014-07-21,21.92,21.97,21.78,21.83,3871761
GLW,2014-07-22,22.17,22.25,21.95,21.97,4525864
GLW,2014-07-23,22.18,22.23,22.05,22.12,4070268
GLW,2014-07-24,22.09,22.26,22.03,22.22,5157209
GLW,2014-07-25,22.02,22.12,21.97,22.05,3688985
GLW,2014-07-28,22.05,22.09,21.8,22.0,5937522
GLW,2014-07-29,20.0,21.1,19.83,21.04,30121123
GLW,2014-07-30,19.87,20.11,19.57,20.1,13123284
GLW,2014-07-31,19.65,19.88,19.61,19.63,13197599
GLW,2014-08-01,19.88,19.945,19.56,19.62,11729307
GLW,2014-08-04,20.05,20.1001,19.76,19.92,8001958
GLW,2014-08-05,19.88,20.09,19.815,19.98,8540209
GLW,2014-08-06,19.79,20.0,19.7,19.75,6841788
GLW,2014-08-07,19.68,20.02,19.61,19.94,5317709
GLW,2014-08-08,19.94,19.94,19.6217,19.68,5975983
GLW,2014-08-11,20.12,20.25,20.0,20.03,4825803
GLW,2014-08-12,20.19,20.22,20.01,20.1,4395364
GLW,2014-08-13,20.32,20.39,20.17,20.3,4511809
GLW,2014-08-14,20.26,20.4,20.21,20.29,5235659
GLW,2014-08-15,20.16,20.38,19.9,20.33,8644202
GLW,2014-08-18,20.37,20.42,20.285,20.29,5286662
GLW,2014-08-19,20.34,20.38,20.0,20.36,10518120
GLW,2014-08-20,20.7,20.76,20.13,20.27,11470738
GLW,2014-08-21,20.65,20.84,20.61,20.73,7693448
GLW,2014-08-22,20.54,20.69,20.43,20.63,5400105
GLW,2014-08-25,20.63,20.77,20.59,20.73,3913866
GLW,2014-08-26,20.74,21.04,20.7,20.7,6036859
GLW,2014-08-27,20.49,20.78,20.44,20.68,5699532
GLW,2014-08-28,20.57,20.69,20.35,20.4,4251403
GLW,2014-08-29,20.86,20.86,20.53,20.55,7647463
GLW,2014-09-01,20.86,20.86,20.86,20.86,0
GLW,2014-09-02,20.97,20.98,20.75,20.88,6270163
GLW,2014-09-03,21.0,21.07,20.91,20.99,6446819
GLW,2014-09-04,21.12,21.42,20.95,21.0,10544033
GLW,2014-09-05,21.29,21.29,21.0,21.09,5868607
GLW,2014-09-08,21.11,21.28,20.98,21.25,6185484
GLW,2014-09-09,20.99,21.38,20.93,21.23,10347066
GLW,2014-09-10,21.02,21.21,20.9332,21.0,5274459
GLW,2014-09-11,20.94,21.1,20.775,20.99,6858391
GLW,2014-09-12,20.73,20.905,20.6,20.88,5260492
GLW,2014-09-15,20.6,20.7,20.36,20.69,5700572
GLW,2014-09-16,20.64,20.77,20.51,20.53,4831037
GLW,2014-09-17,20.71,20.85,20.58,20.65,5495976
GLW,2014-09-18,20.75,20.8,20.68,20.76,4431971
GLW,2014-09-19,20.4,20.89,20.39,20.86,11742497
GLW,2014-09-22,20.23,20.35,20.13,20.33,5412587
GLW,2014-09-23,19.94,20.2,19.94,20.16,9465902
GLW,2014-09-24,20.19,20.2,19.92,19.93,5211974
GLW,2014-09-25,19.81,20.19,19.8,20.18,6130214
GLW,2014-09-26,19.87,19.91,19.72,19.89,4952321
GLW,2014-09-29,19.55,19.7,19.43,19.69,7491115
GLW,2014-09-30,19.34,19.66,19.23,19.63,8926848
GLW,2014-10-01,18.8,19.31,18.79,19.27,14990801
GLW,2014-10-02,18.7,18.89,18.32,18.75,12836933
GLW,2014-10-03,18.93,19.01,18.805,18.82,8011875
GLW,2014-10-06,19.17,19.47,18.91,18.96,13546179
GLW,2014-10-07,18.69,19.09,18.69,19.05,7723566
GLW,2014-10-08,18.96,18.99,18.3901,18.77,9357091
GLW,2014-10-09,18.58,19.01,18.57,18.94,8325661
GLW,2014-10-10,18.17,18.595,18.16,18.53,7983853
GLW,2014-10-13,17.64,18.24,17.63,18.14,11013544
GLW,2014-10-14,17.57,17.83,17.27,17.46,11794574
GLW,2014-10-15,17.56,17.63,17.03,17.21,11713397
GLW,2014-10-16,17.5,17.735,17.12,17.21,10893935
GLW,2014-10-17,17.75,18.0,17.64,17.67,8524358
GLW,2014-10-20,18.08,18.1,17.7,17.7,5926195
GLW,2014-10-21,18.53,18.57,18.23,18.28,8099852
GLW,2014-10-22,18.41,18.745,18.4,18.6,7514680
GLW,2014-10-23,18.68,18.85,18.58,18.65,5304953
GLW,2014-10-24,18.8,18.83,18.5,18.71,5121910
GLW,2014-10-27,18.85,18.91,18.57,18.76,7395389
GLW,2014-10-28,19.6,19.7,18.15,18.21,18359619
GLW,2014-10-29,19.89,20.195,19.6,19.77,11459858
GLW,2014-10-30,20.07,20.21,19.85,19.9,7764745
GLW,2014-10-31,20.43,20.51,20.19,20.44,10747361
GLW,2014-11-03,20.55,20.73,20.4,20.41,10317990
GLW,2014-11-04,20.68,20.68,20.4,20.53,10985702
GLW,2014-11-05,20.76,20.82,20.56,20.78,6616022
GLW,2014-11-06,20.68,20.9,20.61,20.84,9340359
GLW,2014-11-07,20.55,20.76,20.45,20.69,13174765
GLW,2014-11-10,20.8,20.88,20.58,20.6,6707338
GLW,2014-11-11,20.81,20.86,20.68,20.8,5529421
GLW,2014-11-12,20.71,20.795,20.5,20.6,4135518
GLW,2014-11-13,20.35,20.715,20.21,20.66,8660342
GLW,2014-11-14,20.41,20.48,20.26,20.3,6631425
GLW,2014-11-17,20.36,20.4,20.26,20.4,4271616
GLW,2014-11-18,20.42,20.565,20.35,20.38,6255731
GLW,2014-11-19,20.47,20.52,20.18,20.36,7736433
GLW,2014-11-20,20.61,20.75,20.3399,20.4,6163090
GLW,2014-11-21,20.92,20.94,20.726,20.81,9339687
GLW,2014-11-24,20.98,21.0,20.795,20.92,6336707
GLW,2014-11-25,21.02,21.11,20.98,21.0,7385793
GLW,2014-11-26,21.07,21.1,20.96,21.02,4070012
GLW,2014-11-27,21.07,21.07,21.07,21.07,0
GLW,2014-11-28,21.02,21.09,20.92,21.05,2777424
GLW,2014-12-01,20.91,20.99,20.74,20.9,5494016
GLW,2014-12-02,21.01,21.12,20.85,20.88,5781710
GLW,2014-12-03,21.54,21.685,20.97,21.02,14731876
GLW,2014-12-04,21.23,21.61,21.2,21.56,9738137
GLW,2014-12-05,21.34,21.46,21.25,21.27,9244359
GLW,2014-12-08,21.01,21.34,20.94,21.34,6894847
GLW,2014-12-09,21.48,21.7,20.93,20.94,16771436
GLW,2014-12-10,21.15,21.55,21.1,21.44,8513451
GLW,2014-12-11,21.19,21.55,21.12,21.28,6083937
GLW,2014-12-12,20.63,21.11,20.63,21.05,7434024
GLW,2014-12-15,20.61,20.85,20.375,20.74,6943461
GLW,2014-12-16,20.75,20.95,20.45,20.53,10766456
GLW,2014-12-17,21.29,21.34,20.63,20.78,9124146
GLW,2014-12-18,22.18,22.19,21.71,21.85,14379101
GLW,2014-12-19,22.66,22.735,22.2,22.2,14899324
GLW,2014-12-22,22.7,22.72,22.52,22.62,6941648
GLW,2014-12-23,23.14,23.27,22.74,22.74,8320346
GLW,2014-12-24,23.22,23.39,23.15,23.15,3718763
GLW,2014-12-25,23.22,23.22,23.22,23.22,0
GLW,2014-12-26,23.32,23.52,23.21,23.24,4108148
GLW,2014-12-29,23.19,23.395,23.125,23.19,4630229
GLW,2014-12-30,23.19,23.25,22.9901,23.0,4239657
GLW,2014-12-31,22.93,23.44,22.91,23.3,6251551
GLW,2015-01-01,22.93,22.93,22.93,22.93,0
GLW,2015-01-02,23.01,23.11,22.75,23.03,5009277
GLW,2015-01-05,22.69,22.95,22.57,22.84,7039677
GLW,2015-01-06,22.3,22.77,21.89,21.89,7835628
GLW,2015-01-07,22.62,22.77,22.345,22.48,5839899
GLW,2015-01-08,23.35,23.49,22.9,22.93,9533590
GLW,2015-01-09,23.31,23.47,23.22,23.38,6461732
GLW,2015-01-12,23.28,23.45,23.075,23.38,5866955
GLW,2015-01-13,23.15,23.89,22.95,23.41,9155936
GLW,2015-01-14,23.25,23.27,22.74,22.91,6828959
GLW,2015-01-15,23.02,23.8,23.01,23.8,9173223
